#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20                       21
#   TIMESTEP                     TIME                  Mass H1                 Mass He3                 Mass He4                 Mass C12                 Mass N14                 Mass O16                Mass Ne20                Mass Mg24                Mass Si28                 Mass S32                Mass Ar36                Mass Ca40                Mass Ti44                Mass Cr48                Mass Fe52                Mass Fe54                Mass Ni56                   Mass n                   Mass p
          42       0.0000000069633674   3.6081432676342195e-33   5.4827589488795147e-33   1.4451572823906744e-24   3.6283052123978713e-23   5.1705415381748640e-33   4.1790485420517455e-24   2.3015547508680079e-25   3.1280015854972509e-25   8.8130672182700805e-24   2.8362010114266997e-24   5.6389226082719552e-25   1.8462174678152671e-25   2.0336413194296069e-27   1.1981557370415653e-27   8.2495808294532016e-28   1.1228938130246834e-27   6.2241438637662687e-33   6.9095091580413764e-30   4.8497965735297336e-29
          43       0.0000000073051285   3.6022214874078040e-33   5.4842113649189826e-33   1.4496456206806944e-24   3.6219094747999320e-23   5.0779382563525493e-33   4.1438616625693988e-24   2.0790881623064400e-25   2.9711420422572834e-25   8.8686896654158243e-24   2.8980490408224637e-24   5.8408473503775932e-25   1.9494958787710137e-25   2.1624334915020439e-27   1.2874579645321087e-27   8.8607760678526698e-28   1.2526853253577196e-27   6.5037458001853128e-33   7.9853633540770664e-30   5.4380912921301204e-29
          44       0.0000000076459716   3.5962844234732013e-33   5.4856606895010278e-33   1.4538511775753525e-24   3.6156339440297909e-23   4.9978075466174787e-33   4.1094054341095653e-24   1.9109747535347777e-25   2.8246749280449414e-25   8.9170398424128699e-24   2.9587884828775344e-24   6.0421576733282549e-25   2.0553598106012808e-25   2.2946728831219719e-27   1.3810185855051221e-27   9.5054616476704691e-28   1.3878916514382848e-27   6.8116814720548689e-33   9.1043810507563001e-30   6.0507572265338152e-29
          45       0.0000000079861996   3.5903591565584272e-33   5.4871082298811075e-33   1.4577194810611711e-24   3.6094216324196235e-23   4.9279268703655024e-33   4.0760132018851857e-24   1.7857301272993390e-25   2.6920104765317160e-25   8.9592391004643027e-24   3.0184121127669232e-24   6.2428842652649515e-25   2.1637539711252266e-25   2.4305840928969999e-27   1.4789558862407450e-27   1.0186864691569804e-27   1.5286403508441779e-27   7.1507493399832683e-33   1.0257645248117558e-29   6.6873751196196921e-29
          46       0.0000000083260829   3.5844549766820544e-33   5.4885551529659122e-33   1.4612062102333410e-24   3.6032501703891648e-23   4.8665806218611121e-33   4.0439770391480454e-24   1.6931773242295830e-25   2.5735083307821206e-25   8.9962331174820381e-24   3.0769438223298308e-24   6.4430619399796717e-25   2.2746429641264916e-25   2.5703036401360385e-27   1.5813929804637351e-27   1.0907915362924365e-27   1.6750666904298911e-27   7.5241720216613767e-33   1.1436404499449419e-29   7.3475708150619267e-29
          47       0.0000000086659110   3.5785116762759754e-33   5.4900027065700044e-33   1.4642614920459617e-24   3.5971176265772450e-23   4.8128167739606335e-33   4.0134878176027264e-24   1.6246138893004494e-25   2.4686173346224839e-25   9.0287944404118194e-24   3.1344263020097249e-24   6.6427200242800688e-25   2.3880094448495540e-25   2.7138905740483176e-27   1.6884650007800751e-27   1.1671506240856134e-27   1.8273336537812881e-27   7.9356601806184586e-33   1.2632263086713440e-29   8.0311083839621433e-29
          48       0.0000000090060046   3.5725137192094098e-33   5.4914522731431374e-33   1.4668646710323035e-24   3.5910139957042161e-23   4.7655900071972108e-33   3.9846348115890085e-24   1.5747206836154050e-25   2.3763136132321557e-25   9.0575363498787633e-24   3.1909202227653815e-24   6.8419184349421328e-25   2.5038533036646639e-25   2.8613637824251407e-27   1.8003191632860030e-27   1.2480621156680143e-27   1.9856397856453129e-27   8.3894725625480425e-33   1.3837207374432403e-29   8.7379218136812756e-29
          49       0.0000000093466441   3.5665358583937507e-33   5.4929050633098427e-33   1.4689977057158444e-24   3.5849385504595598e-23   4.7234290367854590e-33   3.9574631040341325e-24   1.5393255806552619e-25   2.2949863404007837e-25   9.0829636415053841e-24   3.2464874172882356e-24   7.0407100488940088e-25   2.6221642962761143e-25   3.0127066687841747e-27   1.9170883011334960e-27   1.3338207925514524e-27   2.1501876723467696e-27   8.8903481252200786e-33   1.5043307428953402e-29   9.4679684305703185e-29
          50       0.0000000096880790   3.5605802679855908e-33   5.4943621583461056e-33   1.4706444618330485e-24   3.5788934928828240e-23   4.6855301339178332e-33   3.9319848703484569e-24   1.5150472967665669e-25   2.2231609347061607e-25   9.1054928505967156e-24   3.3011872346090987e-24   7.2391403728329411e-25   2.7429230659015496e-25   3.1678854118916579e-27   2.0388914875434618e-27   1.4247191493343830e-27   2.3211866412996722e-27   9.4435318516580230e-33   1.6242695531433800e-29   1.0221236749459392e-28
          51       0.0000000100304431   3.5545885317954251e-33   5.4958241457544914e-33   1.4717915369146156e-24   3.5728813730131990e-23   4.6516484857387368e-33   3.9082100585939194e-24   1.4989346636295116e-25   2.1597032497601183e-25   9.1254766542914453e-24   3.3550644404556622e-24   7.4372168526909621e-25   2.8660704244865596e-25   3.3268177578240424e-27   2.1658006848474711e-27   1.5210205336602827e-27   2.4988060003296740e-27   1.0054627848491939e-32   1.7427219655204567e-29   1.0997538633699885e-28
          52       0.0000000103737925   3.5485739707454337e-33   5.4972912799431536e-33   1.4724452390071318e-24   3.5668948269416945e-23   4.6211377525831297e-33   3.8861347323830492e-24   1.4893445510555318e-25   2.1038007011106002e-25   9.1432138789855942e-24   3.4081513402528941e-24   7.6349095615605930e-25   2.9915164458987944e-25   3.4893887718362816e-27   2.2978469482370551e-27   1.6229613946750055e-27   2.6831858281767995e-27   1.0729658026500962e-32   1.8588566695430442e-29   1.1796561582955351e-28
